"t","estimate","conf.low","conf.high"
1972,1.36655737783149,0.47657785424911,2.25653690141387
1973,1.37752138121429,0.54077486197747,2.21426790045111
1974,1.39221235387938,0.563015093109131,2.22140961464962
1975,1.85461959130644,1.24399459120454,2.46524459140833
1976,1.851666166428,1.24339242379495,2.45993990906105
1977,0.451123107802332,-0.157129180730748,1.05937539633541
1978,-0.539928633955407,-1.14818072710767,0.0683234591968575
1979,-1.36566806248648,-1.97392015385946,-0.7574159711135
1980,-0.451892292354237,-1.06014438371101,0.156359799002537
1981,-0.897041328582412,-1.50529341993904,-0.288789237225785
1982,-0.631988238246915,-1.2402403296035,-0.0237361468903294
1983,-0.0258711675976546,-0.634123258949864,0.582380923754555
1984,0.78011206293048,0.171859972058814,1.38836415380215
1985,0.196589337671301,-0.411662700432582,0.804841375775185
1986,0.288117610034284,-0.320128633688689,0.896363853757257
1987,-0.735708904185145,-1.34331853923203,-0.128099269138262
1988,0.449759061450623,-0.0833403480738575,0.982858470975104
1989,-0.986670056492476,-1.51933911187775,-0.454001001107205
1990,0.606976618959639,0.0743098868483073,1.13964335107097
1991,0.716900734234796,0.184234014660633,1.24956745380896
1992,1.37040391265485,0.837737193148341,1.90307063216136
1993,-0.0747113105475057,-0.607378030053545,0.457955408958534
1994,0.834670036887341,0.302003317400335,1.36733675637435
1995,1.3579314139693,0.825264698008937,1.89059812992966
1996,-0.786337640105884,-1.3190037025387,-0.253671577673068
1997,-0.00537999098185116,-0.537924933528216,0.527164951564514
1998,-0.282384790384263,-0.791988144227546,0.227218563459021
1999,0.74926062150262,0.239763422087173,1.25875782091807
2000,-0.155396419719796,-0.66489313875438,0.354100299314787
2001,-0.932040388959165,-1.44153710582009,-0.422543672098244
2002,-0.884857430837677,-1.394354147684,-0.375360713991359
2003,-1.01667870650225,-1.52617542229474,-0.507181990709758
2004,-0.76987773815377,-1.27937422105777,-0.260381255249765
2005,-0.902329761254839,-1.41177477252953,-0.392884749980147
2006,0.497320531987772,-0.0121242464689021,1.00676531044445
2007,1.05789110072875,0.548446323325113,1.56733587813239
2008,1.56741656836558,1.0579717909667,2.07686134576446
2009,1.61932134382035,1.10987656642149,2.1287661212192
2010,1.83051534484398,1.32107056744513,2.33996012224284
2011,0.0988066310104661,-0.410638146388388,0.60825140840932
2012,1.9498298606422,1.44038508324334,2.45927463804105
2013,1.25720072237885,0.747755944979999,1.76664549977771
2014,-0.804980658933326,-1.31442543633218,-0.29553588153447
2015,-1.00667686914336,-1.51612164654275,-0.497232091743961
2016,-1.69714142616254,-2.20658620368111,-1.18769664864396
2017,-0.454958569483018,-0.964403373352287,0.0544862343862511
2018,-1.8664477157435,-2.37589834551054,-1.35699708597645
2019,-2.02466839770527,-2.5354054563043,-1.51393133910624
2020,-1.27773905696946,-2.02004186419832,-0.535436249740609
2021,-1.36135948249492,-1.87209654269648,-0.850622422293365
2022,-0.154281739808059,-0.663732721242713,0.355169241626595
2023,-0.409806546227577,-0.919329092481082,0.0997160000259273
2024,-0.311761196355312,-0.838114904031978,0.214592511321354
